imputacao,balanceamento,modelo,otimizador,tentativa,f1_cv,parametros
KNN,RandomUnderSampling,Random Forest,Random Search,4,0.7183783271305496,"{""modelo__n_estimators"": 80, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": 0.8, ""modelo__max_depth"": 4, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Random Search,5,0.7318281567645434,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": 6, ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Random Forest,Random Search,6,0.7198181916138923,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""sqrt"", ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Random Search,7,0.7128563628563628,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Random Search,8,0.725299501145159,"{""modelo__n_estimators"": 80, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": 0.8, ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Random Search,9,0.7240376669478549,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": null, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Random Search,10,0.7263709591767146,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": null, ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Random Forest,Random Search,11,0.7180690230424357,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": null, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,0,0.709349706907108,"{""modelo__n_estimators"": 140, ""modelo__max_depth"": 4, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,1,0.7052761409260747,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": null, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": 0.8, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,2,0.7191470782138447,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,3,0.711373028405485,"{""modelo__n_estimators"": 140, ""modelo__max_depth"": null, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": 0.8, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,4,0.7348330290991089,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,5,0.7378605079851338,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,6,0.72879974871856,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": 6, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,7,0.7341964811988793,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,8,0.7220654095841601,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,9,0.7305658023442674,"{""modelo__n_estimators"": 140, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,10,0.7198936464674924,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 6, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""entropy""}"
